Frame,latitude,longitude,depth,mag
0,-14.951,167.2922,40.14,4.8
0,-34.903,-111.5903,10,4.8
0,5.8873,127.4672,35,4.5
0,5.7717,126.946,67.36,4.6
0,61.2975,-149.9523,44.4,5
0,-24.0161,-15.031,10,4.5
0,8.5808,125.834,46.03,4.6
0,-20.7873,-177.7682,480.77,4.7
0,34.7979,23.8582,10,4.9
0,5.3785,94.5625,43.76,4.9
1,-10.5086,108.5182,10,4.9
1,14.0411,144.7262,187.97,4.5
1,-18.2146,-177.7433,609.64,4.5
1,-9.5818,122.6874,62.72,5
1,29.4236,51.2694,10,4.6
1,-2.4525,99.6762,10,5.1
1,13.1406,121.2786,35,4.5
1,42.4859,104.4129,10,5
1,-12.7763,45.4543,10,4.6
1,58.3343,-153.1447,61.8,4.9
1,29.3932,51.3003,10,4.9
1,-2.0544,139.0416,34.52,5
1,-3.2699,148.5491,24.17,4.7
1,-45.9386,34.8953,10,4.7
2,54.779,164.7238,10,4.5
2,-6.5492,103.6276,30.9,4.5
2,5.5593,126.3478,57.53,4.6
2,-6.4851,103.6156,34.95,5.1
2,-9.445,117.9736,10,4.9
2,39.4417,143.6408,21.01,4.5
2,-22.4871,-176.4267,82.75,4.6
2,54.5791,164.1577,10,4.5
2,-55.7364,-26.9774,10,5.1
2,28.1902,104.9182,10,4.8
2,-29.5078,-177.9724,70.7,4.6
2,36.2364,70.3225,184.99,4.5
2,-47.9533,165.5703,10,4.6
2,-3.8586,127.7562,53.37,4.7
2,-11.4695,118.1823,32.59,4.6
2,-9.2993,109.585,10,4.5
2,-12.8623,45.4104,10,4.5
2,33.0514,130.4705,10,4.7
3,-59.7459,-26.201,42.43,5.4
3,-22.4385,169.8222,10,4.6
3,11.7558,93.3604,111.1,4.5
3,25.3139,124.1513,128.63,4.7
3,-10.5994,108.5031,6.77,4.6
3,53.3335,159.7347,67.98,5
3,22.9278,121.0375,10,4.8
3,1.7936,128.6351,35,4.5
3,-18.6185,-173.0884,10,4.8
3,48.8819,153.7228,122.73,5.2
3,2.3908,127.3019,54.41,5
3,-5.6193,-76.9012,43.68,4.9
3,54.8864,164.6918,10,5.4
3,-2.6007,140.5833,10,4.5
3,-28.979,-178.3698,203.38,4.9
3,-6.5176,130.4073,127.9,5.6
3,-2.8457,-76.3184,128.26,4.6
3,2.7976,-31.1997,10,4.7
3,36.0731,71.7714,113.4,4.5
4,26.3588,-110.7377,10,4.9
4,10.9342,-61.37,10,4.9
4,40.19,19.7274,12.61,4.8
4,-60.6901,-26.5353,10,4.7
4,11.2897,-39.7617,10,4.9
4,-21.0141,-69.136,139.95,4.7
4,1.1169,127.3416,148.14,4.5
4,4.4493,126.1068,106.98,5
4,-0.84,127.6814,10,5.2
4,-1.0211,127.4736,10,5
4,-3.8485,-103.656,10,4.5
4,23.8768,123.3178,21.01,4.5
4,-21.9006,169.0459,10,4.8
4,-0.9009,127.6742,10,4.5
4,-0.8189,127.5122,10,4.7
4,-0.9067,127.4852,18.46,4.5
4,31.2327,130.7241,115.3,4.6
4,-0.8425,127.6422,10,4.7
4,26.1622,-110.6621,10,4.5
4,-0.8253,127.6071,14.3,5.4
4,12.9217,-88.6519,75.48,4.6
5,-56.3976,-27.6786,14.89,4.5
5,14.9017,-91.4809,148.06,4.5
5,-5.0377,153.6352,38.8,4.6
5,3.0909,31.4019,10,4.8
5,51.3349,-178.1181,30,5.9
5,14.4113,-93.1719,35,4.7
5,-18.0407,-172.1656,10,5.1
5,-8.144,-71.587,570.41,6.8
5,17.7838,122.9031,42.17,4.8
5,-25.3361,-179.4193,434.28,4.9
5,25.8233,144.5691,14.28,5.7
5,65.407,-153.2799,17.1,5.1
5,28.5413,51.6003,10,5
5,13.4268,146.4338,10,4.5
5,51.2607,-178.1425,35,5.1
5,-3.3944,153.6892,387.14,5.2
5,-35.211,-104.8611,10,4.9
5,38.7217,141.4426,99.75,4.7
5,-15.1888,-70.8297,30.6,5
6,-28.2773,74.59,10,4.7
6,34.1248,45.6794,14,5.6
6,34.0932,45.5111,7.18,4.6
6,34.0765,45.5737,10,4.6
6,34.0464,45.6698,10,4.9
6,54.8659,164.6179,10,4.5
6,54.8913,164.6844,10,4.7
6,39.8478,77.6122,9.01,5
6,2.258,126.758,43.21,6.6
6,2.2334,126.6584,19.8,5.2
6,2.3047,126.7967,52.61,4.7
6,2.0097,126.6731,48.58,4.5
6,2.3861,126.7382,47.75,4.9
6,2.3827,126.9221,35,4.6
6,-53.9959,159.0777,10,4.8
6,2.1061,126.6564,55.11,4.9
6,2.2318,126.7396,52.54,5.1
6,2.2776,126.7763,49.22,5.1
6,2.2853,126.8075,49.78,4.7
6,-29.9779,-72.2278,10,4.7
6,2.5056,126.9088,35,4.6
6,2.354,126.6344,35,5
6,2.4472,126.8881,43.36,5
6,2.3499,126.7179,43.19,4.5
6,-19.6155,-69.619,110.04,4.8
6,2.3879,127.3148,54.61,4.7
6,2.4671,126.8885,35,4.6
6,2.337,126.7541,35,4.7
6,-26.4278,179.5494,524.61,4.5
6,2.3324,126.7696,35,4.9
6,-6.8682,145.6894,45.54,4.5
6,-25.4188,-71.05,10,4.6
6,7.8663,121.9502,19.43,5.5
6,-8.1852,119.8796,10,4.8
6,2.3929,126.8824,41.76,4.5
6,2.4625,126.8308,41.41,4.5
6,10.4888,-63.164,20.48,4.6
6,-10.6072,-78.152,62.28,4.6
6,-56.0068,-27.4431,53.28,4.6
6,41.4725,143.1673,34.96,4.5
6,-62.6607,-158.1613,10,4.9
6,2.381,126.8456,35,4.6
6,3.3418,-84.0118,10,4.6
6,-6.9769,129.2477,145.09,4.7
6,2.205,126.6783,35,4.6
6,16.1824,146.4919,55.9,4.8
7,-19.5722,-68.9156,103.54,4.9
7,2.442,126.781,39.88,5.2
7,28.8211,130.7651,10,4.6
7,28.931,130.5334,10,4.9
7,2.1922,126.7007,53.07,4.8
7,-7.9552,107.7593,66.25,4.7
7,35.0039,140.0285,46.82,4.6
7,-8.2027,108.9246,71.48,4.5
7,26.7955,99.4683,10,4.5
7,10.4629,-63.0537,10,4.8
7,-11.3181,-13.9405,10,4.8
7,-19.1748,-177.5515,547.76,4.5
7,54.5665,162.6045,10,4.5
7,-7.8778,106.5655,35,5.2
7,-4.6078,-74.0062,10,5.2
7,-11.2247,-13.7369,10,4.6
7,-10.5313,108.4765,10,4.7
8,23.1861,121.6463,22.57,4.9
8,30.5872,131.0441,35,6.3
8,-17.5406,-174.7662,10,4.6
8,19.0656,121.041,36.74,4.6
8,-17.6716,-174.2895,10,5.2
8,-8.066,130.6604,27.08,4.7
8,-19.4492,169.8067,16.51,4.6
8,28.9962,142.448,10,4.5
8,39.4328,72.5644,10,4.5
8,-18.087,-174.6083,10,4.9
8,-59.7968,-26.2013,42.45,4.7
8,12.031,143.868,10,4.7
8,-31.7415,-178.5333,35,4.5
8,12.2861,144.0206,10,4.7
8,-56.4354,-25.5839,10,4.5
8,28.195,140.752,169.54,4.7
8,69.1016,-144.6726,14.6,4.5
8,-19.5361,-173.3625,10,4.9
8,6.1625,126.7504,106.19,4.5
8,-12.7484,45.4582,10,4.9
8,18.534,121.2816,56.26,4.6
8,-17.514,-174.2637,10,4.6
8,3.9401,95.8773,45.6,5.1
9,-30.9707,-177.6369,10,4.6
9,-20.2937,-177.7632,538.34,4.7
9,-12.91,45.5606,10,4.9
9,-4.5484,147.9213,10,4.9
9,-17.9428,-177.8844,484.62,4.6
9,-4.6314,147.9241,10,4.7
9,-9.3853,119.9551,72.93,5
9,-32.6198,80.3063,10,4.7
9,5.6988,126.569,76.83,4.6
9,8.4648,-73.3433,128.95,4.6
9,15.5777,-95.0517,35.5,4.5
9,34.3645,78.2373,34.51,4.6
9,-52.7424,20.9087,10,4.9
9,-29.9483,-176.3448,10,5.2
9,-23.6341,-66.7288,210.43,4.5
9,53.7856,158.9296,10,4.6
10,-16.2769,-176.4044,368.42,4.7
10,-21.8157,168.8301,10,5.1
10,-26.904,-175.5446,10,5.8
10,-27.1754,-176.1577,10,5
10,-22.5275,-175.3964,35,4.5
10,37.3192,20.6178,10,4.8
10,-26.9697,-176.3356,10,5.1
10,-17.1478,167.1508,10,4.8
10,34.5801,26.6262,36.37,5
10,-30.3998,-177.7543,35,4.9
10,-26.7845,-175.755,10,4.7
10,-27.1889,-176.2623,10,4.9
10,44.9045,151.8082,10,4.7
10,-26.9036,-176.1001,10,4.8
10,-23.9879,-175.8225,35,4.9
10,-27.0308,-176.1351,10,4.8
10,-27.0705,-176.0543,10,4.9
10,-26.7842,-176.106,10,4.9
10,-21.8103,-174.5563,35,4.7
10,61.4708,-149.8991,49.8,4.6
10,-26.9635,-176.1522,10,4.9
10,2.4011,126.9031,35,4.5
10,-21.4205,-173.9721,10,5.3
10,2.7148,127.2509,35,4.8
10,-3.9716,130.0359,60.46,4.6
11,-52.4508,17.9397,10,4.6
11,-18.1651,-178.1768,539.93,4.7
11,-3.3932,101.2762,39,5.4
11,2.1705,126.7096,68.22,4.5
11,55.0239,164.6495,10,4.6
11,-21.66,168.7341,10,4.8
11,-1.6756,-78.0484,146.11,4.6
11,-60.1324,-27.1924,10,4.5
11,-19.0067,169.5613,245.75,4.6
11,-8.0637,118.7758,10,4.6
11,39.6095,75.7112,18.28,5.3
11,-26.6602,-176.193,10,4.5
11,-26.8175,-175.8455,10,5.2
