index,frame,latitude,longitude,magnitude
0,0,54.3122,-157.3843,3.2
1,0,-6.9605,129.8294,4.7
2,0,37.4319,137.1121,4.3
3,0,37.3362,136.9617,4.5
4,0,37.3845,137.1529,4
5,0,26.0489,95.4358,4.5
6,0,19.1752,145.3811,4.1
7,0,53.9358,-165.3445,4
8,0,37.2247,136.6924,4.6
9,0,37.0652,136.6184,4.5
10,0,23.9953,122.4283,4
11,0,37.121,136.7825,4.4
12,0,-14.9334,-173.5891,4.4
13,0,69.4568,-144.1662,3.4
14,0,37.211,136.851,4.2
15,0,37.5711,137.4761,4.6
16,0,33.5798333,-118.3703333,4.06
17,0,53.2726,-166.7012,2.5
18,0,37.584,137.7114,4.1
19,0,69.1183,-144.7557,2.9
20,0,37.4953,137.3899,4.4
21,0,4.7027,127.3061,4.2
22,0,44.58266667,-110.7538333,2.57
23,0,44.5895,-110.7511667,3.14
24,0,44.58616667,-110.7505,2.5
25,0,37.4903,137.4129,4.4
26,0,-28.3121,62.8497,4.7
27,0,37.7315,137.5602,4.1
28,0,-15.0526,166.8954,4.6
29,0,-6.6246,107.7514,4.5
30,0,38.831,-122.8143333,2.83
31,0,37.3826,137.1399,4.5
32,0,37.2699,136.9525,4.3
33,0,37.1278,136.6582,4.3
34,0,37.618,137.6781,4.4
35,0,37.4904,137.373,4.2
36,0,37.1664,136.6946,4.6
37,0,37.3111,136.9721,4.3
38,0,50.3525,-174.6415,3
39,0,37.6531,137.5146,4.1
40,0,18.3181,-64.4698,3.55
41,0,37.5375,137.2865,4.7
42,0,37.45,137.1951,4.2
43,0,19.33233333,-155.122,2.55
44,0,37.8468,137.6625,4.6
45,0,37.3871,136.9994,4.3
46,0,37.5516,137.3728,4.6
47,0,37.8107,137.5664,5.1
48,0,37.1479,136.6562,5
49,0,37.4998,137.3585,5.2
50,0,37.553,137.3241,4.1
51,0,37.52,137.3328,4.4
52,0,37.4507,137.3198,4.2
53,0,37.5146,137.4029,5.6
54,0,37.4672,137.4557,4.6
55,0,37.5339,137.4185,5.5
56,0,37.3695,137.7118,4.1
57,0,12.4653,-89.0159,4.5
58,0,37.8651,137.5542,4.5
59,0,37.6483,137.6044,4.6
60,0,31.617,-104.505,3.1
61,0,17.9386,-66.2663,2.84
62,0,-24.2794,-67.3309,4.2
63,0,37.5787,137.5274,4.7
64,0,37.4631,137.2239,4.9
65,0,37.5869,137.6196,4.3
66,0,37.5012,137.2009,4.8
67,0,37.5918,137.3097,4.5
68,0,37.85,137.7868,4.3
69,0,37.1718,136.6149,5.1
70,0,37.5444,137.401,5
71,0,20.6354,145.0047,4.5
72,0,37.2997,136.8875,5.6
73,0,37.4132,137.708,4.4
74,0,37.6242,137.5518,4.7
75,0,37.6769,137.8121,4.3
76,0,-0.1092,123.6177,5.3
77,0,37.2779,136.8374,4.8
78,0,37.7823,137.7515,4.7
79,0,37.4693,137.2483,4.8
80,0,37.4861,137.4519,5.2
81,0,37.6244,137.7775,4.3
82,0,37.3707,137.0978,4.4
83,0,37.6053,137.573,4.2
84,0,50.5962,-177.0618,3.3
85,0,37.4638,137.2642,4.7
86,0,37.3496,136.8046,4.6
87,0,44.6082,147.0332,4.2
88,0,37.3802,137.2254,4.6
89,0,37.1895,136.8272,6.2
90,0,37.4874,137.271,7.5
91,0,37.4933,137.2491,5.8
92,0,35.3088333,-120.8905,2.81
93,0,-7.8936,117.8591,4.7
94,0,-23.3645,-179.8743,4.5
95,0,-15.0626,167.4895,4.4
96,0,62.5718,-151.2719,2.8
97,0,44.4338,149.243,4.5
98,0,8.9147,127.4797,4.1
99,0,29.32,-97.442,3.1
100,0,12.4954,-88.9548,4.4
101,0,76.065,17.4987,4.5
102,0,-7.2109,129.5277,4.2
103,0,57.1044,-155.0311,3.6
104,0,-21.2187,-68.6888,4.4
105,0,-24.412,179.8704,4.6
106,0,-25.3436,-70.5175,4.3
107,0,-6.8599,107.1224,4.1
108,0,-57.3045,-25.8967,4.4
109,0,17.6625,145.4596,4.7
110,0,18.40866667,-66.427,3.22
111,1,18.00683333,-67.044,2.79
112,1,53.1731,-166.8865,3.5
113,1,-23.3669,-66.6178,5
114,1,62.1568,-152.0696,2.8
115,1,51.9017,171.3672,3.8
116,1,57.4958,-152.2552,3
117,1,52.6927,-163.9222,3.2
118,1,37.2018,136.8443,4.3
119,1,17.9466,-66.9813,3.3
120,1,17.0658,120.1791,4.1
121,1,17.1111,120.1731,5
122,1,2.6339,-31.0085,4.9
123,1,32.752,-100.648,2.7
124,1,36.5332,71.5341,4.3
125,1,63.1789,-171.6799,3.9
126,1,-18.0686,-172.6614,4.3
127,1,-26.1134,-175.8191,4
128,1,37.4779,137.3268,4.2
129,1,31.642,-104.233,2.5
130,1,37.4797,137.3192,4.8
131,1,51.4042,-177.4989,3
132,1,51.269,178.6321,2.8
133,1,51.9867,-176.484,2.9
134,1,31.562,-104.143,2.7
135,1,-23.674,-179.6601,4.3
136,1,32.21,-102.607,2.5
137,1,-24.0309,-66.7435,4.6
138,1,52.0256,178.2754,2.9
139,1,33.494,-116.5103333,2.56
140,1,32.735,-100.657,2.6
141,1,-61.268,-56.0977,4.4
142,1,-59.4451,-25.4691,4.6
143,1,37.267,137.0659,4.4
144,1,-36.3515,-179.7098,4.5
145,1,37.6834,137.5358,4.4
146,1,-24.302,-179.4718,4.1
147,1,37.4619,137.2443,4.4
148,1,24.8206,124.3056,4.4
149,1,-27.6184,-69.3397,4.3
150,1,37.5934,137.7365,4.3
151,1,42.5415,42.878,4.3
152,1,37.1175,136.7367,4.6
153,1,31.9412,-6.4003,4.3
154,1,37.1828,136.7831,4.8
155,1,-16.6564,175.9819,4.3
156,1,37.7961,137.6442,4.4
157,1,32.3606,141.667,4.5
158,1,61.2922,-146.8454,3.6
159,1,-31.4952,-177.8599,4.3
160,1,-7.4185,28.1431,4.5
161,1,-10.1167,123.7618,4.9
162,1,54.1289,-163.6283,2.5
163,1,-58.2027,-27.189,4.2
164,1,18.0806,-64.066,3.85
165,1,53.5609,-165.4358,2.6
166,1,51.4836,-175.2357,3.1
167,1,11.7458,-87.0458,4.1
168,1,8.8429,127.2178,4.6
169,1,-17.5765,-179.1513,4.3
170,1,60.1441,-152.4915,2.6
171,1,37.247,136.7689,5.4
172,1,-17.1743,167.2247,4.5
173,1,63.4037,-151.4591,2.5
174,1,50.8367,-177.6429,2.8
175,1,37.4192,137.2441,4.4
176,1,37.4545,136.9426,4.1
177,2,54.5812,-161.1986,2.7
178,2,4.8183,127.2989,4.4
179,2,31.4911,139.7724,4.2
